date,year,month,day,weekday,hour,is_weekend
2023-01-21,2023,1,21,5,0,True
2023-01-21,2023,1,21,5,1,True
2023-01-21,2023,1,21,5,2,True
2023-01-21,2023,1,21,5,3,True
2023-01-21,2023,1,21,5,4,True
2023-01-21,2023,1,21,5,5,True
2023-01-21,2023,1,21,5,6,True
2023-01-21,2023,1,21,5,7,True
2023-01-21,2023,1,21,5,8,True
2023-01-21,2023,1,21,5,9,True
2023-01-21,2023,1,21,5,10,True
2023-01-21,2023,1,21,5,11,True
2023-01-21,2023,1,21,5,12,True
2023-01-21,2023,1,21,5,13,True
2023-01-21,2023,1,21,5,14,True
2023-01-21,2023,1,21,5,15,True
2023-01-21,2023,1,21,5,16,True
2023-01-21,2023,1,21,5,17,True
2023-01-21,2023,1,21,5,18,True
2023-01-21,2023,1,21,5,19,True
2023-01-21,2023,1,21,5,20,True
2023-01-21,2023,1,21,5,21,True
2023-01-21,2023,1,21,5,22,True
2023-01-21,2023,1,21,5,23,True
2023-01-22,2023,1,22,6,0,True
2023-01-22,2023,1,22,6,1,True
2023-01-22,2023,1,22,6,2,True
2023-01-22,2023,1,22,6,3,True
2023-01-22,2023,1,22,6,4,True
2023-01-22,2023,1,22,6,5,True
2023-01-22,2023,1,22,6,6,True
2023-01-22,2023,1,22,6,7,True
2023-01-22,2023,1,22,6,8,True
2023-01-22,2023,1,22,6,9,True
2023-01-22,2023,1,22,6,10,True
2023-01-22,2023,1,22,6,11,True
2023-01-22,2023,1,22,6,12,True
2023-01-22,2023,1,22,6,13,True
2023-01-22,2023,1,22,6,14,True
2023-01-22,2023,1,22,6,15,True
2023-01-22,2023,1,22,6,16,True
2023-01-22,2023,1,22,6,17,True
2023-01-22,2023,1,22,6,18,True
2023-01-22,2023,1,22,6,19,True
2023-01-22,2023,1,22,6,20,True
2023-01-22,2023,1,22,6,21,True
2023-01-22,2023,1,22,6,22,True
2023-01-22,2023,1,22,6,23,True
2023-01-23,2023,1,23,0,0,False
2023-01-23,2023,1,23,0,1,False
2023-01-23,2023,1,23,0,2,False
2023-01-23,2023,1,23,0,3,False
2023-01-23,2023,1,23,0,4,False
2023-01-23,2023,1,23,0,5,False
2023-01-23,2023,1,23,0,6,False
2023-01-23,2023,1,23,0,7,False
2023-01-23,2023,1,23,0,8,False
2023-01-23,2023,1,23,0,9,False
2023-01-23,2023,1,23,0,10,False
2023-01-23,2023,1,23,0,11,False
2023-01-23,2023,1,23,0,12,False
2023-01-23,2023,1,23,0,13,False
2023-01-23,2023,1,23,0,14,False
2023-01-23,2023,1,23,0,15,False
2023-01-23,2023,1,23,0,16,False
2023-01-23,2023,1,23,0,17,False
2023-01-23,2023,1,23,0,18,False
2023-01-23,2023,1,23,0,19,False
2023-01-23,2023,1,23,0,20,False
2023-01-23,2023,1,23,0,21,False
2023-01-23,2023,1,23,0,22,False
2023-01-23,2023,1,23,0,23,False
2023-01-24,2023,1,24,1,0,False
2023-01-24,2023,1,24,1,1,False
2023-01-24,2023,1,24,1,2,False
2023-01-24,2023,1,24,1,3,False
2023-01-24,2023,1,24,1,4,False
2023-01-24,2023,1,24,1,5,False
2023-01-24,2023,1,24,1,6,False
2023-01-24,2023,1,24,1,7,False
